session_id,event_type,timestamp,page,event_data
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:14:16.540Z,podium,"{""timeOnPage"": 29, ""totalTime"": 60}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:14:46.538Z,podium,"{""timeOnPage"": 30, ""totalTime"": 90}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:15:16.536Z,podium,"{""timeOnPage"": 30, ""totalTime"": 120}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:15:46.532Z,podium,"{""timeOnPage"": 30, ""totalTime"": 150}"
session_1761945339854_4agjst254,solution_viewed,2025-10-31T21:16:02.753Z,podium,"{""solution_id"": ""III.1.b"", ""solution_name"": ""PLIM 2.0 em DMZ"", ""tronco"": ""III""}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:04.111Z,podium,"{""text"": ""\u00d7"", ""id"": ""closeModal"", ""classes"": ""modal-close""}"
session_1761945339854_4agjst254,solution_viewed,2025-10-31T21:16:05.154Z,podium,"{""solution_id"": ""III.1.a"", ""solution_name"": ""MVP com IA pr\u00f3pria (ambiente dedicado)"", ""tronco"": ""III""}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:06.463Z,podium,"{""text"": ""\u00d7"", ""id"": ""closeModal"", ""classes"": ""modal-close""}"
session_1761945339854_4agjst254,view_full_ranking,2025-10-31T21:16:07.699Z,ranking,{}
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:07.700Z,ranking,"{""text"": ""Ranking completo"", ""id"": ""btnRanking"", ""classes"": ""ghost""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:16:09.859Z,ranking,"{""timeOnPage"": 30, ""totalTime"": 30}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:16:16.528Z,podium,"{""timeOnPage"": 30, ""totalTime"": 180}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:32.606Z,tree,"{""text"": ""Todas solu\u00e7\u00f5es"", ""id"": ""btnTree"", ""classes"": ""ghost""}"
session_1761945339854_4agjst254,view_tree,2025-10-31T21:16:32.604Z,tree,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:16:39.976Z,tree,"{""timeOnPage"": 30, ""totalTime"": 60}"
session_1761945339854_4agjst254,solution_viewed,2025-10-31T21:16:40.452Z,tree,"{""solution_id"": ""III.1.b"", ""solution_name"": ""PLIM 2.0 em DMZ"", ""tronco"": ""III""}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:43.040Z,tree,"{""text"": ""\u00d7"", ""id"": ""closeModal"", ""classes"": ""modal-close""}"
session_1761945339854_4agjst254,view_full_ranking,2025-10-31T21:16:45.572Z,tree,{}
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:45.573Z,tree,"{""text"": ""Ranking completo"", ""id"": ""btnRanking"", ""classes"": ""ghost""}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:16:46.531Z,podium,"{""timeOnPage"": 30, ""totalTime"": 210}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:16:50.211Z,tree,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:53.232Z,tree,"{""text"": ""Confirma"", ""id"": ""confirm"", ""classes"": ""primary""}"
session_1761945339854_4agjst254,priorities_confirmed,2025-10-31T21:16:54.254Z,tree,"{""r"": ""0.0327"", ""g"": ""0.9290"", ""b"": ""0.0384"", ""r_percent"": ""3.27"", ""g_percent"": ""92.90"", ""b_percent"": ""3.84""}"
session_1761945339854_4agjst254,results_calculated,2025-10-31T21:16:54.261Z,tree,"{""top_solution"": ""N/A"", ""total_solutions"": 12}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:16:54.262Z,tree,"{""text"": ""Ok"", ""id"": ""dlgOk"", ""classes"": ""primary""}"
session_1761945339854_4agjst254,solution_viewed,2025-10-31T21:16:58.010Z,tree,"{""solution_id"": ""III.2.a"", ""solution_name"": ""PLIM 1.5 na SEG (integra\u00e7\u00e3o moderada)"", ""tronco"": ""III""}"
session_1761945339854_4agjst254,button_click,2025-10-31T21:17:00.463Z,tree,"{""text"": ""\u00d7"", ""id"": ""closeModal"", ""classes"": ""modal-close""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:17:01.863Z,tree,"{""timeOnPage"": 22, ""totalTime"": 82}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:17:01.863Z,tree,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:17:10.097Z,tree,"{""timeOnPage"": 8, ""totalTime"": 90}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:17:18.540Z,podium,"{""timeOnPage"": 32, ""totalTime"": 242}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:17:40.102Z,tree,"{""timeOnPage"": 30, ""totalTime"": 120}"
session_1761945339854_4agjst254,page_visible,2025-10-31T21:18:02.354Z,tree,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:18:03.693Z,tree,"{""timeOnPage"": 1, ""totalTime"": 122}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:18:03.694Z,tree,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:18:10.805Z,tree,"{""timeOnPage"": 7, ""totalTime"": 129}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:18:18.528Z,podium,"{""timeOnPage"": 60, ""totalTime"": 302}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:18:40.820Z,tree,"{""timeOnPage"": 30, ""totalTime"": 159}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:19:10.831Z,tree,"{""timeOnPage"": 30, ""totalTime"": 189}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:19:18.539Z,podium,"{""timeOnPage"": 60, ""totalTime"": 362}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:19:40.843Z,tree,"{""timeOnPage"": 30, ""totalTime"": 219}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:20:10.854Z,tree,"{""timeOnPage"": 30, ""totalTime"": 249}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:20:18.540Z,podium,"{""timeOnPage"": 60, ""totalTime"": 422}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:20:40.860Z,tree,"{""timeOnPage"": 30, ""totalTime"": 279}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:21:11.414Z,tree,"{""timeOnPage"": 31, ""totalTime"": 309}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:21:18.534Z,podium,"{""timeOnPage"": 60, ""totalTime"": 482}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:21:41.520Z,tree,"{""timeOnPage"": 30, ""totalTime"": 339}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:22:12.550Z,tree,"{""timeOnPage"": 31, ""totalTime"": 370}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:22:18.608Z,podium,"{""timeOnPage"": 60, ""totalTime"": 542}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:22:42.564Z,tree,"{""timeOnPage"": 30, ""totalTime"": 400}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:23:12.893Z,tree,"{""timeOnPage"": 30, ""totalTime"": 431}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:23:18.853Z,podium,"{""timeOnPage"": 60, ""totalTime"": 603}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:23:42.897Z,tree,"{""timeOnPage"": 30, ""totalTime"": 461}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:24:13.063Z,tree,"{""timeOnPage"": 30, ""totalTime"": 491}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:24:18.542Z,podium,"{""timeOnPage"": 60, ""totalTime"": 662}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:24:43.074Z,tree,"{""timeOnPage"": 30, ""totalTime"": 521}"
session_1761945339854_4agjst254,page_visible,2025-10-31T21:24:55.669Z,tree,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:25:00.834Z,tree,"{""timeOnPage"": 0, ""totalTime"": 526}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:25:00.835Z,tree,{}
session_1761945339854_4agjst254,page_view,2025-10-31T21:25:00.925Z,podium,"{""page"": ""input""}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:25:18.538Z,podium,"{""timeOnPage"": 60, ""totalTime"": 722}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:25:31.128Z,podium,"{""timeOnPage"": 30, ""totalTime"": 30}"
session_1761945934021_7hi1bxa28,page_view,2025-10-31T21:25:34.038Z,podium,"{""page"": ""input""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:25:39.847Z,podium,"{""timeOnPage"": 9, ""totalTime"": 39}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:25:39.854Z,podium,{}
session_1761945934021_7hi1bxa28,scroll_depth,2025-10-31T21:25:41.116Z,podium,"{""depth"": 100}"
session_1761945934021_7hi1bxa28,time_update,2025-10-31T21:25:52.887Z,podium,"{""timeOnPage"": 19, ""totalTime"": 19}"
session_1761945934021_7hi1bxa28,session_end,2025-10-31T21:25:52.892Z,podium,"{""totalDuration"": 19, ""totalEvents"": 3}"
session_1761945934021_7hi1bxa28,page_hidden,2025-10-31T21:25:52.901Z,podium,{}
session_1761945934021_7hi1bxa28,time_update,2025-10-31T21:25:52.899Z,podium,"{""timeOnPage"": 0, ""totalTime"": 19}"
session_1761945339854_4agjst254,page_visible,2025-10-31T21:25:53.079Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:26:01.129Z,podium,"{""timeOnPage"": 8, ""totalTime"": 47}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:26:18.535Z,podium,"{""timeOnPage"": 60, ""totalTime"": 782}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:26:31.138Z,podium,"{""timeOnPage"": 30, ""totalTime"": 77}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:51.732Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:52.356Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:52.899Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:26:54.066Z,podium,"{""timeOnPage"": 23, ""totalTime"": 100}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:26:54.068Z,podium,{}
session_1761945339854_4agjst254,page_view,2025-10-31T21:26:56.116Z,podium,"{""page"": ""input""}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:57.221Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:57.744Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:58.164Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,scroll_depth,2025-10-31T21:26:58.455Z,podium,"{""depth"": 25}"
session_1761945339854_4agjst254,scroll_depth,2025-10-31T21:26:58.471Z,podium,"{""depth"": 50}"
session_1761945339854_4agjst254,triangle_interaction,2025-10-31T21:26:59.259Z,podium,"{""element"": ""canvas""}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:27:01.216Z,podium,"{""timeOnPage"": 7, ""totalTime"": 107}"
session_1761946026261_778t3192a,page_view,2025-10-31T21:27:06.267Z,podium,"{""page"": ""input""}"
session_1761946026261_778t3192a,scroll_depth,2025-10-31T21:27:07.678Z,podium,"{""depth"": 100}"
session_1761946026261_778t3192a,triangle_interaction,2025-10-31T21:27:12.035Z,podium,"{""element"": ""canvas""}"
session_1761946026261_778t3192a,triangle_interaction,2025-10-31T21:27:12.298Z,podium,"{""element"": ""canvas""}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:27:18.529Z,podium,"{""timeOnPage"": 60, ""totalTime"": 842}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:27:20.491Z,podium,"{""timeOnPage"": 14, ""totalTime"": 14}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:27:20.492Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:27:21.054Z,podium,"{""timeOnPage"": 25, ""totalTime"": 25}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:27:21.056Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:27:26.239Z,podium,"{""timeOnPage"": 5, ""totalTime"": 30}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:27:31.223Z,podium,"{""timeOnPage"": 30, ""totalTime"": 137}"
session_1761946026261_778t3192a,page_visible,2025-10-31T21:27:35.292Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:27:35.297Z,podium,{}
session_1761946026261_778t3192a,time_update,2025-10-31T21:27:36.276Z,podium,"{""timeOnPage"": 1, ""totalTime"": 15}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:27:36.541Z,podium,"{""timeOnPage"": 0, ""totalTime"": 15}"
session_1761946026261_778t3192a,page_hidden,2025-10-31T21:27:36.543Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:27:56.247Z,podium,"{""timeOnPage"": 21, ""totalTime"": 51}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:28:00.252Z,podium,"{""timeOnPage"": 4, ""totalTime"": 55}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:28:00.256Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:28:00.615Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:28:01.479Z,podium,"{""timeOnPage"": 30, ""totalTime"": 167}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:28:06.541Z,podium,"{""timeOnPage"": 30, ""totalTime"": 45}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:28:16.879Z,podium,"{""timeOnPage"": 16, ""totalTime"": 71}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:28:16.884Z,podium,{}
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:28:18.539Z,podium,"{""timeOnPage"": 60, ""totalTime"": 902}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:28:26.348Z,podium,"{""timeOnPage"": 9, ""totalTime"": 81}"
